CROP_LABEL,CROP_ID,NDVI,DATE,QUERY_DATE,LATITUDE,LONGITUDE
Paddy,P001,-0.04336104246236801,2022-07-16,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.6042240587695134,2022-08-10,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.865531914893617,2022-08-30,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.8722132843024593,2022-09-04,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.7537117903930131,2022-09-09,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.7443000213083315,2022-09-19,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.8276450511945392,2022-09-29,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.8351172853564108,2022-10-04,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.6248236953455572,2022-10-14,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.5775737071048815,2022-10-19,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.34551495016611294,2022-10-24,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.2779855397656445,2022-10-29,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.2965847813061714,2022-11-03,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.24384863397250975,2022-11-13,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.12671029149315882,2022-11-18,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.1267345050878816,2022-11-23,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.12040990606319385,2022-11-28,2022-09-15,30.512319578639403,74.773546825301
Paddy,P001,0.11578947368421053,2022-12-03,2022-09-15,30.512319578639403,74.773546825301
Paddy,P002,0.1111111111111111,2022-06-01,2022-09-15,30.51358007799638,74.7734028098925
Paddy,P002,0.0829326923076923,2022-06-06,2022-09-15,30.51358007799638,74.7734028098925
Paddy,P002,0.07573244886677723,2022-06-11,2022-09-15,30.51358007799638,74.7734028098925
Paddy,P002,-0.08686376104846083,2022-06-26,2022-09-15,30.51358007799638,74.7734028098925
Paddy,P002,0.1991657977059437,2022-07-16,2022-09-15,30.51358007799638,74.7734028098925
Paddy,P002,0.9089581304771178,2022-08-10,2022-09-15,30.51358007799638,74.7734028098925
